Flux	Ic
-4.56004	0.0683054
-4.55904	0.0683642
-4.55804	0.0684224
-4.55704	0.06848
-4.55604	0.0685369
-4.55504	0.0685931
-4.55404	0.0686487
-4.55304	0.0687037
-4.55204	0.0687579
-4.55104	0.0688116
-4.55004	0.0688645
-4.54905	0.0689169
-4.54805	0.0689685
-4.54705	0.0690195
-4.54605	0.0690698
-4.54505	0.0691195
-4.54405	0.0691685
-4.54305	0.0692169
-4.54205	0.0692645
-4.54105	0.0693116
-4.54005	0.0693579
-4.53905	0.0694036
-4.53805	0.0694486
-4.53705	0.069493
-4.53605	0.0695367
-4.53505	0.0695797
-4.53405	0.0696221
-4.53305	0.0696637
-4.53205	0.0697048
-4.53105	0.0697451
-4.53005	0.0697848
-4.52905	0.0698238
-4.52805	0.0698621
-4.52705	0.0698997
-4.52605	0.0699367
-4.52505	0.069973
-4.52405	0.0700086
-4.52305	0.0700436
-4.52205	0.0700779
-4.52105	0.0701114
-4.52005	0.0701444
-4.51905	0.0701766
-4.51805	0.0702081
-4.51705	0.070239
-4.51605	0.0702692
-4.51505	0.0702987
-4.51405	0.0703275
-4.51305	0.0703557
-4.51205	0.0703832
-4.51105	0.0704099
-4.51005	0.070436
-4.50905	0.0704614
-4.50805	0.0704862
-4.50705	0.0705102
-4.50605	0.0705336
-4.50505	0.0705562
-4.50405	0.0705782
-4.50305	0.0705995
-4.50205	0.0706201
-4.50105	0.07064
-4.50005	0.0706592
-4.49905	0.0706777
-4.49805	0.0706956
-4.49705	0.0707127
-4.49605	0.0707292
-4.49505	0.070745
-4.49405	0.07076
-4.49305	0.0707744
-4.49205	0.0707881
-4.49105	0.0708011
-4.49005	0.0708134
-4.48905	0.070825
-4.48805	0.0708359
-4.48705	0.0708461
-4.48605	0.0708556
-4.48505	0.0708644
-4.48405	0.0708726
-4.48305	0.07088
-4.48205	0.0708867
-4.48105	0.0708927
-4.48005	0.0708981
-4.47905	0.0709027
-4.47805	0.0709066
-4.47705	0.0709099
-4.47605	0.0709124
-4.47505	0.0709142
-4.47405	0.0709154
-4.47305	0.0709158
-4.47205	0.0709155
-4.47105	0.0709145
-4.47005	0.0709129
-4.46905	0.0709105
-4.46805	0.0709074
-4.46705	0.0709036
-4.46605	0.0708992
-4.46505	0.070894
-4.46405	0.0708881
-4.46305	0.0708815
-4.46205	0.0708742
-4.46105	0.0708662
-4.46005	0.0708575
-4.45905	0.0708481
-4.45805	0.070838
-4.45705	0.0708271
-4.45605	0.0708156
-4.45505	0.0708034
-4.45405	0.0707905
-4.45305	0.0707768
-4.45205	0.0707625
-4.45105	0.0707474
-4.45005	0.0707316
-4.44906	0.0707152
-4.44806	0.070698
-4.44706	0.0706801
-4.44606	0.0706615
-4.44506	0.0706422
-4.44406	0.0706222
-4.44306	0.0706015
-4.44206	0.0705801
-4.44106	0.070558
-4.44006	0.0705351
-4.43906	0.0705116
-4.43806	0.0704874
-4.43706	0.0704624
-4.43606	0.0704367
-4.43506	0.0704104
-4.43406	0.0703833
-4.43306	0.0703555
-4.43206	0.070327
-4.43106	0.0702978
-4.43006	0.0702679
-4.42906	0.0702372
-4.42806	0.0702059
-4.42706	0.0701739
-4.42606	0.0701411
-4.42506	0.0701077
-4.42406	0.0700735
-4.42306	0.0700386
-4.42206	0.070003
-4.42106	0.0699667
-4.42006	0.0699297
-4.41906	0.069892
-4.41806	0.0698536
-4.41706	0.0698145
-4.41606	0.0697747
-4.41506	0.0697341
-4.41406	0.0696929
-4.41306	0.0696509
-4.41206	0.0696083
-4.41106	0.0695649
-4.41006	0.0695208
-4.40906	0.069476
-4.40806	0.0694305
-4.40706	0.0693843
-4.40606	0.0693374
-4.40506	0.0692898
-4.40406	0.0692415
-4.40306	0.0691924
-4.40206	0.0691427
-4.40106	0.0690923
-4.40006	0.0690411
-4.39906	0.0689893
-4.39806	0.0689367
-4.39706	0.0688834
-4.39606	0.0688295
-4.39506	0.0687748
-4.39406	0.0687194
-4.39306	0.0686633
-4.39206	0.0686065
-4.39106	0.068549
-4.39006	0.0684908
-4.38906	0.0684319
-4.38806	0.0683723
-4.38706	0.068312
-4.38606	0.068251
-4.38506	0.0681893
-4.38406	0.0681269
-4.38306	0.0680637
-4.38206	0.0679999
-4.38106	0.0679354
-4.38006	0.0678702
-4.37906	0.0678042
-4.37806	0.0677376
-4.37706	0.0676703
-4.37606	0.0676023
-4.37506	0.0675335
-4.37406	0.0674641
-4.37306	0.067394
-4.37206	0.0673231
-4.37106	0.0672516
-4.37006	0.0671794
-4.36906	0.0671065
-4.36806	0.0670329
-4.36706	0.0669586
-4.36606	0.0668835
-4.36506	0.0668078
-4.36406	0.0667314
-4.36306	0.0666544
-4.36206	0.0665766
-4.36106	0.0664981
-4.36006	0.0664189
-4.35906	0.066339
-4.35806	0.0662585
-4.35706	0.0661772
-4.35606	0.0660953
-4.35506	0.0660126
-4.35406	0.0659293
-4.35306	0.0658453
-4.35206	0.0657606
-4.35106	0.0656752
-4.35006	0.0655891
-4.34907	0.0655023
-4.34807	0.0654149
-4.34707	0.0653267
-4.34607	0.0652379
-4.34507	0.0651483
-4.34407	0.0650581
-4.34307	0.0649672
-4.34207	0.0648757
-4.34107	0.0647834
-4.34007	0.0646905
-4.33907	0.0645968
-4.33807	0.0645025
-4.33707	0.0644075
-4.33607	0.0643119
-4.33507	0.0642155
-4.33407	0.0641185
-4.33307	0.0640208
-4.33207	0.0639224
-4.33107	0.0638233
-4.33007	0.0637236
-4.32907	0.0636232
-4.32807	0.0635221
-4.32707	0.0634203
-4.32607	0.0633179
-4.32507	0.0632147
-4.32407	0.0631109
-4.32307	0.0630065
-4.32207	0.0629014
-4.32107	0.0627955
-4.32007	0.0626891
-4.31907	0.0625819
-4.31807	0.0624741
-4.31707	0.0623656
-4.31607	0.0622565
-4.31507	0.0621467
-4.31407	0.0620362
-4.31307	0.0619251
-4.31207	0.0618132
-4.31107	0.0617008
-4.31007	0.0615876
-4.30907	0.0614739
-4.30807	0.0613594
-4.30707	0.0612443
-4.30607	0.0611285
-4.30507	0.0610121
-4.30407	0.060895
-4.30307	0.0607772
-4.30207	0.0606588
-4.30107	0.0605398
-4.30007	0.0604201
-4.29907	0.0602997
-4.29807	0.0601787
-4.29707	0.060057
-4.29607	0.0599347
-4.29507	0.0598117
-4.29407	0.0596881
-4.29307	0.0595638
-4.29207	0.0594389
-4.29107	0.0593134
-4.29007	0.0591872
-4.28907	0.0590603
-4.28807	0.0589328
-4.28707	0.0588047
-4.28607	0.0586759
-4.28507	0.0585465
-4.28407	0.0584165
-4.28307	0.0582858
-4.28207	0.0581544
-4.28107	0.0580225
-4.28007	0.0578899
-4.27907	0.0577566
-4.27807	0.0576228
-4.27707	0.0574883
-4.27607	0.0573531
-4.27507	0.0572174
-4.27407	0.057081
-4.27307	0.0569439
-4.27207	0.0568063
-4.27107	0.056668
-4.27007	0.0565291
-4.26907	0.0563896
-4.26807	0.0562494
-4.26707	0.0561087
-4.26607	0.0559673
-4.26507	0.0558253
-4.26407	0.0556826
-4.26307	0.0555394
-4.26207	0.0553955
-4.26107	0.055251
-4.26007	0.055106
-4.25907	0.0549603
-4.25807	0.0548139
-4.25707	0.054667
-4.25607	0.0545195
-4.25507	0.0543713
-4.25407	0.0542226
-4.25307	0.0540732
-4.25207	0.0539232
-4.25107	0.0537727
-4.25007	0.0536215
-4.24908	0.0534697
-4.24808	0.0533173
-4.24708	0.0531644
-4.24608	0.0530108
-4.24508	0.0528566
-4.24408	0.0527019
-4.24308	0.0525465
-4.24208	0.0523906
-4.24108	0.052234
-4.24008	0.0520769
-4.23908	0.0519192
-4.23808	0.0517609
-4.23708	0.051602
-4.23608	0.0514425
-4.23508	0.0512824
-4.23408	0.0511218
-4.23308	0.0509605
-4.23208	0.0507987
-4.23108	0.0506363
-4.23008	0.0504734
-4.22908	0.0503098
-4.22808	0.0501457
-4.22708	0.049981
-4.22608	0.0498158
-4.22508	0.0496499
-4.22408	0.0494835
-4.22308	0.0493166
-4.22208	0.049149
-4.22108	0.0489809
-4.22008	0.0488123
-4.21908	0.048643
-4.21808	0.0484732
-4.21708	0.0483029
-4.21608	0.048132
-4.21508	0.0479605
-4.21408	0.0477885
-4.21308	0.0476159
-4.21208	0.0474428
-4.21108	0.0472691
-4.21008	0.0470949
-4.20908	0.0469201
-4.20808	0.0467448
-4.20708	0.0465689
-4.20608	0.0463925
-4.20508	0.0462155
-4.20408	0.046038
-4.20308	0.04586
-4.20208	0.0456814
-4.20108	0.0455023
-4.20008	0.0453226
-4.19908	0.0451424
-4.19808	0.0449617
-4.19708	0.0447805
-4.19608	0.0445987
-4.19508	0.0444164
-4.19408	0.0442336
-4.19308	0.0440502
-4.19208	0.0438663
-4.19108	0.0436819
-4.19008	0.043497
-4.18908	0.0433116
-4.18808	0.0431256
-4.18708	0.0429392
-4.18608	0.0427522
-4.18508	0.0425647
-4.18408	0.0423767
-4.18308	0.0421881
-4.18208	0.0419991
-4.18108	0.0418096
-4.18008	0.0416196
-4.17908	0.041429
-4.17808	0.041238
-4.17708	0.0410465
-4.17608	0.0408544
-4.17508	0.0406619
-4.17408	0.0404689
-4.17308	0.0402754
-4.17208	0.0400813
-4.17108	0.0398868
-4.17008	0.0396919
-4.16908	0.0394964
-4.16808	0.0393004
-4.16708	0.039104
-4.16608	0.0389071
-4.16508	0.0387097
-4.16408	0.0385118
-4.16308	0.0383135
-4.16208	0.0381146
-4.16108	0.0379153
-4.16008	0.0377156
-4.15908	0.0375153
-4.15808	0.0373146
-4.15708	0.0371134
-4.15608	0.0369118
-4.15508	0.0367097
-4.15408	0.0365072
-4.15308	0.0363041
-4.15208	0.0361007
-4.15108	0.0358967
-4.15008	0.0356924
-4.14909	0.0354875
-4.14809	0.0352822
-4.14709	0.0350765
-4.14609	0.0348703
-4.14509	0.0346637
-4.14409	0.0344567
-4.14309	0.0342491
-4.14209	0.0340412
-4.14109	0.0338328
-4.14009	0.033624
-4.13909	0.0334148
-4.13809	0.0332051
-4.13709	0.032995
-4.13609	0.0327844
-4.13509	0.0325735
-4.13409	0.0323621
-4.13309	0.0321503
-4.13209	0.031938
-4.13109	0.0317254
-4.13009	0.0315123
