Phase	CPR
-1.68389	-0.993611
-1.67133	-0.994951
-1.65876	-0.996134
-1.64619	-0.997159
-1.63363	-0.998027
-1.62106	-0.998737
-1.6085	-0.999289
-1.59593	-0.999684
-1.58336	-0.999921
-1.5708	-1
-1.55823	-0.999921
-1.54566	-0.999684
-1.5331	-0.999289
-1.52053	-0.998737
-1.50796	-0.998027
-1.4954	-0.997159
-1.48283	-0.996134
-1.47027	-0.994951
-1.4577	-0.993611
-1.44513	-0.992115
-1.43257	-0.990461
-1.42	-0.988652
-1.40743	-0.986686
-1.39487	-0.984564
-1.3823	-0.982287
-1.36973	-0.979855
-1.35717	-0.977268
-1.3446	-0.974527
-1.33204	-0.971632
-1.31947	-0.968583
-1.3069	-0.965382
-1.29434	-0.962028
-1.28177	-0.958522
-1.2692	-0.954865
-1.25664	-0.951057
-1.24407	-0.947098
-1.2315	-0.942991
-1.21894	-0.938734
-1.20637	-0.934329
-1.19381	-0.929776
-1.18124	-0.925077
-1.16867	-0.920232
-1.15611	-0.915241
-1.14354	-0.910106
-1.13097	-0.904827
-1.11841	-0.899405
-1.10584	-0.893841
-1.09327	-0.888136
-1.08071	-0.882291
-1.06814	-0.876307
-1.05558	-0.870184
-1.04301	-0.863923
-1.03044	-0.857527
-1.01788	-0.850994
-1.00531	-0.844328
-0.992743	-0.837528
-0.980177	-0.830596
-0.967611	-0.823533
-0.955044	-0.816339
-0.942478	-0.809017
-0.929911	-0.801567
-0.917345	-0.79399
-0.904779	-0.786288
-0.892212	-0.778462
-0.879646	-0.770513
-0.86708	-0.762443
-0.854513	-0.754251
-0.841947	-0.745941
-0.82938	-0.737513
-0.816814	-0.728969
-0.804248	-0.720309
-0.791681	-0.711536
-0.779115	-0.70265
-0.766549	-0.693653
-0.753982	-0.684547
-0.741416	-0.675333
-0.728849	-0.666012
-0.716283	-0.656586
-0.703717	-0.647056
-0.69115	-0.637424
-0.678584	-0.627691
-0.666018	-0.61786
-0.653451	-0.60793
-0.640885	-0.597905
-0.628319	-0.587785
-0.615752	-0.577573
-0.603186	-0.567269
-0.590619	-0.556876
-0.578053	-0.546394
-0.565487	-0.535827
-0.55292	-0.525175
-0.540354	-0.51444
-0.527788	-0.503623
-0.515221	-0.492727
-0.502655	-0.481754
-0.490088	-0.470704
-0.477522	-0.45958
-0.464956	-0.448383
-0.452389	-0.437116
-0.439823	-0.425779
-0.427257	-0.414376
-0.41469	-0.402906
-0.402124	-0.391374
-0.389557	-0.379779
-0.376991	-0.368125
-0.364425	-0.356412
-0.351858	-0.344643
-0.339292	-0.33282
-0.326726	-0.320944
-0.314159	-0.309017
-0.301593	-0.297042
-0.289027	-0.285019
-0.27646	-0.272952
-0.263894	-0.260842
-0.251327	-0.24869
-0.238761	-0.236499
-0.226195	-0.224271
-0.213628	-0.212007
-0.201062	-0.19971
-0.188496	-0.187381
-0.175929	-0.175023
-0.163363	-0.162637
-0.150796	-0.150226
-0.13823	-0.13779
-0.125664	-0.125333
-0.113097	-0.112856
-0.100531	-0.100362
-0.0879646	-0.0878512
-0.0753982	-0.0753268
-0.0628319	-0.0627905
-0.0502655	-0.0502443
-0.0376991	-0.0376902
-0.0251327	-0.0251301
-0.0125664	-0.012566
0	0
0.0125664	0.012566
0.0251327	0.0251301
0.0376991	0.0376902
0.0502655	0.0502443
0.0628319	0.0627905
0.0753982	0.0753268
0.0879646	0.0878512
0.100531	0.100362
0.113097	0.112856
0.125664	0.125333
0.13823	0.13779
0.150796	0.150226
0.163363	0.162637
0.175929	0.175023
0.188496	0.187381
0.201062	0.19971
0.213628	0.212007
0.226195	0.224271
0.238761	0.236499
0.251327	0.24869
0.263894	0.260842
0.27646	0.272952
0.289027	0.285019
0.301593	0.297042
0.314159	0.309017
0.326726	0.320944
0.339292	0.33282
0.351858	0.344643
0.364425	0.356412
0.376991	0.368125
0.389557	0.379779
0.402124	0.391374
0.41469	0.402906
0.427257	0.414376
0.439823	0.425779
0.452389	0.437116
0.464956	0.448383
0.477522	0.45958
0.490088	0.470704
0.502655	0.481754
0.515221	0.492727
0.527788	0.503623
0.540354	0.51444
0.55292	0.525175
0.565487	0.535827
0.578053	0.546394
0.590619	0.556876
0.603186	0.567269
0.615752	0.577573
0.628319	0.587785
0.640885	0.597905
0.653451	0.60793
0.666018	0.61786
0.678584	0.627691
0.69115	0.637424
0.703717	0.647056
0.716283	0.656586
0.728849	0.666012
0.741416	0.675333
0.753982	0.684547
0.766549	0.693653
0.779115	0.70265
0.791681	0.711536
0.804248	0.720309
0.816814	0.728969
0.82938	0.737513
0.841947	0.745941
0.854513	0.754251
0.86708	0.762443
0.879646	0.770513
0.892212	0.778462
0.904779	0.786288
0.917345	0.79399
0.929911	0.801567
0.942478	0.809017
0.955044	0.816339
0.967611	0.823533
0.980177	0.830596
0.992743	0.837528
1.00531	0.844328
1.01788	0.850994
1.03044	0.857527
1.04301	0.863923
1.05558	0.870184
1.06814	0.876307
1.08071	0.882291
1.09327	0.888136
1.10584	0.893841
1.11841	0.899405
1.13097	0.904827
1.14354	0.910106
1.15611	0.915241
1.16867	0.920232
1.18124	0.925077
1.19381	0.929776
1.20637	0.934329
1.21894	0.938734
1.2315	0.942991
1.24407	0.947098
1.25664	0.951057
1.2692	0.954865
1.28177	0.958522
1.29434	0.962028
1.3069	0.965382
1.31947	0.968583
1.33204	0.971632
1.3446	0.974527
1.35717	0.977268
1.36973	0.979855
1.3823	0.982287
1.39487	0.984564
1.40743	0.986686
1.42	0.988652
1.43257	0.990461
1.44513	0.992115
1.4577	0.993611
1.47027	0.994951
1.48283	0.996134
1.4954	0.997159
1.50796	0.998027
1.52053	0.998737
1.5331	0.999289
1.54566	0.999684
1.55823	0.999921
1.5708	1
1.58336	0.999921
1.59593	0.999684
1.6085	0.999289
1.62106	0.998737
1.63363	0.998027
1.64619	0.997159
1.65876	0.996134
1.67133	0.994951
1.68389	0.993611
1.69646	0.992115
1.70903	0.990461
1.72159	0.988652
1.73416	0.986686
1.74673	0.984564
1.75929	0.982287
1.77186	0.979855
1.78442	0.977268
1.79699	0.974527
1.80956	0.971632
1.82212	0.968583
1.83469	0.965382
1.84726	0.962028
1.85982	0.958522
1.87239	0.954865
1.88496	0.951057
1.89752	0.947098
1.91009	0.942991
1.92265	0.938734
1.93522	0.934329
1.94779	0.929776
1.96035	0.925077
1.97292	0.920232
