flux	Ic
-0.54	0.645477
-0.53	0.657407
-0.52	0.668936
-0.51	0.680048
-0.5	0.690709
-0.49	0.7009
-0.48	0.7106
-0.47	0.719795
-0.46	0.728473
-0.45	0.736626
-0.44	0.744253
-0.43	0.751385
-0.42	0.758025
-0.41	0.764239
-0.4	0.77014
-0.39	0.776046
-0.38	0.783197
-0.37	0.792066
-0.36	0.801518
-0.35	0.811155
-0.34	0.820816
-0.33	0.830399
-0.32	0.839847
-0.31	0.84914
-0.3	0.85823
-0.29	0.867099
-0.28	0.875734
-0.27	0.884123
-0.26	0.892257
-0.25	0.900129
-0.24	0.907733
-0.23	0.915063
-0.22	0.922114
-0.21	0.928882
-0.2	0.935363
-0.19	0.941552
-0.18	0.947447
-0.17	0.953042
-0.16	0.958336
-0.15	0.963325
-0.14	0.968006
-0.13	0.972377
-0.12	0.976434
-0.11	0.980175
-0.1	0.983599
-0.09	0.986703
-0.08	0.989485
-0.07	0.991943
-0.06	0.994077
-0.05	0.995885
-0.04	0.997365
-0.03	0.998517
-0.02	0.999341
-0.01	0.999835
0	1
0.01	0.999835
0.02	0.999341
0.03	0.998517
0.04	0.997365
0.05	0.995885
0.06	0.994077
0.07	0.991943
0.08	0.989485
0.09	0.986703
0.1	0.983599
0.11	0.980175
0.12	0.976434
0.13	0.972377
0.14	0.968006
0.15	0.963325
0.16	0.958336
0.17	0.953042
0.18	0.947447
0.19	0.941552
0.2	0.935363
0.21	0.928882
0.22	0.922114
0.23	0.915063
0.24	0.907733
0.25	0.900129
0.26	0.892257
0.27	0.884123
0.28	0.875734
0.29	0.867099
0.3	0.85823
0.31	0.84914
0.32	0.839847
0.33	0.830399
0.34	0.820816
0.35	0.811155
0.36	0.801518
0.37	0.792066
0.38	0.783197
0.39	0.776046
0.4	0.77014
0.41	0.764239
0.42	0.758025
0.43	0.751385
0.44	0.744253
0.45	0.736626
0.46	0.728473
0.47	0.719795
0.48	0.7106
0.49	0.7009
0.5	0.690709
0.51	0.680048
0.52	0.668936
0.53	0.657407
0.54	0.645477
0.55	0.633171
0.56	0.620516
0.57	0.60754
0.58	0.594277
0.59	0.580765
0.6	0.567025
0.61	0.553082
0.62	0.538967
0.63	0.524737
0.64	0.510382
0.65	0.495971
0.66	0.481498
0.67	0.466995
0.68	0.452492
0.69	0.438001
0.7	0.423535
0.71	0.409107
0.72	0.394728
0.73	0.380407
0.74	0.366152
0.75	0.351971
0.76	0.33787
0.77	0.323857
0.78	0.309936
0.79	0.296115
0.8	0.282399
0.81	0.268795
0.82	0.255307
0.83	0.241943
0.84	0.228707
0.85	0.215605
0.86	0.202642
0.87	0.189825
0.88	0.177157
0.89	0.164646
0.9	0.152295
0.91	0.140109
0.92	0.128094
0.93	0.116254
0.94	0.104594
0.95	0.0931189
0.96	0.0818322
0.97	0.0707386
0.98	0.0598422
0.99	0.0491469
1	0.0406546
1.01	0.0501509
1.02	0.0594504
1.03	0.0685491
1.04	0.0774434
1.05	0.0861299
1.06	0.094605
1.07	0.102866
1.08	0.110909
1.09	0.118732
1.1	0.126332
1.11	0.133707
1.12	0.140854
1.13	0.147771
1.14	0.154456
1.15	0.160908
1.16	0.167124
1.17	0.173104
1.18	0.178846
1.19	0.18435
1.2	0.189613
1.21	0.194636
1.22	0.199417
1.23	0.203957
1.24	0.208256
1.25	0.212312
1.26	0.216126
1.27	0.219698
1.28	0.223028
1.29	0.226114
1.3	0.228957
1.31	0.231555
1.32	0.233905
1.33	0.236008
1.34	0.23786
1.35	0.239452
1.36	0.24078
1.37	0.241846
1.38	0.242634
1.39	0.243148
1.4	0.243383
1.41	0.24333
1.42	0.242988
1.43	0.242359
1.44	0.241441
1.45	0.240236
1.46	0.238746
1.47	0.236974
1.48	0.234923
1.49	0.232599
1.5	0.230009
1.51	0.227159
1.52	0.224059
1.53	0.220718
1.54	0.21715
1.55	0.213365
1.56	0.209378
1.57	0.205208
1.58	0.20088
1.59	0.196415
1.6	0.191863
1.61	0.187327
1.62	0.183141
1.63	0.179244
1.64	0.175384
1.65	0.171488
